Anomalous (Outlier) Node Information
--------------------------------------------------------------------------------
Original Index  True Label                Predicted Label          
1063110         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2584993         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2842479         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3162869         NetFlowObject             MemoryObject             
3151606         NetFlowObject             MemoryObject             
3101187         NetFlowObject             MemoryObject             
3113057         NetFlowObject             MemoryObject             
163397          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3207436         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
847319          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
148134          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
617423          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
284978          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3115473         NetFlowObject             MemoryObject             
3103645         NetFlowObject             MemoryObject             
3097811         NetFlowObject             MemoryObject             
1483506         FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3140124         NetFlowObject             MemoryObject             
2577366         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
564461          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
564543          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2838407         SUBJECT_PROCESS           SUBJECT_PROCESS          
2839865         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1829914         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3163620         NetFlowObject             MemoryObject             
146694          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3102532         NetFlowObject             MemoryObject             
3127020         NetFlowObject             MemoryObject             
3128514         NetFlowObject             MemoryObject             
152304          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
787313          SUBJECT_PROCESS           SUBJECT_PROCESS          
848112          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3118505         NetFlowObject             MemoryObject             
516628          MemoryObject              MemoryObject             
3105661         NetFlowObject             MemoryObject             
675620          NetFlowObject             NetFlowObject            
516638          MemoryObject              MemoryObject             
564226          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2613683         NetFlowObject             NetFlowObject            
3116379         NetFlowObject             MemoryObject             
3124374         NetFlowObject             MemoryObject             
3134474         NetFlowObject             MemoryObject             
1959110         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
384955          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
842633          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3097164         NetFlowObject             MemoryObject             
612124          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
3128563         NetFlowObject             MemoryObject             
1831384         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
854793          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
856802          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3114885         NetFlowObject             MemoryObject             
564073          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2617403         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
133007          MemoryObject              MemoryObject             
3015            MemoryObject              MemoryObject             
146768          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2854750         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2839988         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2571853         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1500871         FILE_OBJECT_DIR           FILE_OBJECT_DIR          
384392          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2993161         FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2744            SUBJECT_PROCESS           SUBJECT_PROCESS          
2841212         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1996374         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
864559          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3202479         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
384770          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
844715          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
2849217         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2842310         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1096682         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1448337         SUBJECT_PROCESS           FILE_OBJECT_DIR          
1828038         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1487213         FILE_OBJECT_DIR           FILE_OBJECT_DIR          
1481613         FILE_OBJECT_DIR           FILE_OBJECT_DIR          
2016860         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1829006         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
148469          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1602146         FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2581925         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
155885          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2003250         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
843796          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
864080          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
704237          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
839412          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
156653          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
284859          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
863096          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
838618          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
2930238         MemoryObject              MemoryObject             
864551          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
852204          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
836519          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
844870          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
3204584         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
856264          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
284637          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
851746          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
863104          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
384098          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
1829602         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1830823         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
857617          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
847103          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
842850          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
840213          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
1991901         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
77601           FILE_OBJECT_FILE          FILE_OBJECT_DIR          
2842233         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
632079          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
849107          FILE_OBJECT_DIR           FILE_OBJECT_DIR          
2040013         FILE_OBJECT_FILE          FILE_OBJECT_DIR          
613530          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
516585          MemoryObject              MemoryObject             
709309          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
633149          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1402209         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2843867         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
617949          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
1828767         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
2609924         SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
564450          FILE_OBJECT_FILE          FILE_OBJECT_DIR          
641988          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
694893          SRCSINK_UNKNOWN           SRCSINK_UNKNOWN          
